date,price
16-Jan,1.69
16-Feb,1.58
16-Mar,1.47
16-Apr,1.62
16-May,1.78
16-Jun,1.86
16-Jul,1.88
16-Aug,1.73
16-Sep,1.75
16-Oct,1.81
16-Nov,1.9
16-Dec,1.8
17-Jan,1.91
17-Feb,2
17-Mar,2.03
17-Apr,1.95
17-May,2.01
17-Jun,1.96
17-Jul,1.86
17-Aug,1.89
17-Sep,2.01
17-Oct,2.12
17-Nov,2.03
17-Dec,2.15
18-Jan,2.24
18-Feb,2.36
18-Mar,2.33
18-Apr,2.33
18-May,2.49
18-Jun,2.63
18-Jul,2.56
18-Aug,2.57
18-Sep,2.59
18-Oct,2.61
18-Nov,2.57
18-Dec,2.25
