date,price
16-Jan,1.58
16-Feb,1.47
16-Mar,1.36
16-Apr,1.51
16-May,1.67
16-Jun,1.75
16-Jul,1.77
16-Aug,1.62
16-Sep,1.64
16-Oct,1.7
16-Nov,1.79
16-Dec,1.69
17-Jan,1.8
17-Feb,1.89
17-Mar,1.92
17-Apr,1.84
17-May,1.9
17-Jun,1.85
17-Jul,1.75
17-Aug,1.78
17-Sep,1.9
17-Oct,2.01
17-Nov,1.92
17-Dec,2.04
18-Jan,2.12
18-Feb,2.25
18-Mar,2.22
18-Apr,2.22
18-May,2.37
18-Jun,2.51
18-Jul,2.45
18-Aug,2.46
18-Sep,2.48
18-Oct,2.5
18-Nov,2.46
18-Dec,2.15
