date,price
16-Jan,1.51
16-Feb,1.4
16-Mar,1.29
16-Apr,1.44
16-May,1.6
16-Jun,1.68
16-Jul,1.7
16-Aug,1.55
16-Sep,1.57
16-Oct,1.63
16-Nov,1.72
16-Dec,1.62
17-Jan,1.73
17-Feb,1.82
17-Mar,1.85
17-Apr,1.77
17-May,1.83
17-Jun,1.78
17-Jul,1.68
17-Aug,1.71
17-Sep,1.83
17-Oct,1.94
17-Nov,1.85
17-Dec,1.97
18-Jan,2.05
18-Feb,2.17
18-Mar,2.14
18-Apr,2.14
18-May,2.3
18-Jun,2.44
18-Jul,2.37
18-Aug,2.38
18-Sep,2.4
18-Oct,2.41
18-Nov,2.38
18-Dec,2.05
