date,price
Dec-18,2.61
Nov-18,2.87
Oct-18,2.76
Sep-18,2.64
Aug-18,2.63
Jul-18,2.66
Jun-18,2.71
May-18,2.56
Apr-18,2.4
Mar-18,2.43
Feb-18,2.49
Jan-18,2.33
Dec-17,2.2
Nov-17,2.11
Oct-17,2.1
Sep-17,2
Aug-17,1.88
Jul-17,1.84
Jun-17,1.9
May-17,1.97
Apr-17,1.95
Mar-17,2.02
Feb-17,2
Jan-17,1.94
Dec-16,1.81
Nov-16,1.91
Oct-16,1.76
Sep-16,1.72
Aug-16,1.76
Jul-16,1.85
Jun-16,1.77
May-16,1.6
Apr-16,1.56
Mar-16,1.4
Feb-16,1.37
Jan-16,1.61
