,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
local_male,40102,36730,32703,28249,26526,25385,25081,20885,14122,10171,7464,5142,3899,2577,1651,924,1021
local_female,38087,34356,30089,26424,26832,24390,22864,19278,13608,9742,7936,5665,3647,2345,1834,916,890
