,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
nlocal_male,56062,43283,36974,38199,180813,348646,304267,223168,160913,88780,49792,26290,10043,3987,2118,899,752
nlocal_female,53197,43565,37973,48135,99635,134814,123537,88919,60878,39763,22984,14074,7083,3300,1911,920,964
