,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
local,78189,71086,62792,54673,53358,49775,47945,40163,27730,19913,15400,10807,7546,4922,3485,1840,1911
nlocal,109259,86848,74947,86334,280448,483460,427804,312087,221791,128543,72776,40364,17126,7287,4029,1819,1716
