year,population
1975,211812
1980,451848
1985,566036
1990,713702
1995,942463
2000,1112716
2001,1170254
2005,1399484
2007,1505488
2008,1572906
2009,1643344
2010,2094480
2011,2120800
2012,2336575
2013,2455109
2014,2656300
2015,2784600
2016,2908173
