year,population
1975,54886
1980,90792
1985,135982
1990,168525
1995,222627
2000,277602
2001,296152
2005,350277
2007,374974
2008,390577
2009,406797
2010,437483
2011,439100
2012,476722
2013,495368
2014,507300
2015,536800
2016,551535
